Utility Level Data - States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,Month,State,Utility Number,Utility Name,Data Status,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2020,1,AZ,16572,Salt River Project,Preliminary,AC,143.540,72.931,6.630,0.000,223.101,"22,347",617,3,0,"22,967",3.949,0.027,.,0.000,3.976,787,2,.,0,789,5.075,6.161,0.000,0.000,11.236,"1,859",85,0,0,"1,944",634.290,"1,581.100",0.000,0.000,"2,215.390",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,148.615,79.092,6.630,0.000,234.337,"24,206",702,3,0,"24,911",634.290,"1,581.100",0.000,0.000,"2,215.390"
2020,1,AZ,19189,Trico Electric Cooperative Inc,Preliminary,DC,18.090,9.300,.,.,27.390,"2,545",44,.,.,"2,589",.,.,.,.,0.000,.,.,.,.,0,0.044,0.183,.,.,0.227,48,1,.,.,49,"1,052.650",411.570,.,.,"1,464.220",0.002,.,.,.,0.002,1,.,.,.,1,0.027,.,.,.,0.027,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,18.136,9.483,NM,0.000,27.619,"2,594",45,0,0,"2,639","1,052.677",411.570,0.000,0.000,"1,464.247"
2020,1,AZ,19728,"UNS Electric, Inc",Preliminary,AC,27.344,10.400,.,.,37.744,"3,628",180,.,.,"3,808",0.140,.,.,.,0.140,26,.,.,.,26,.,.,.,.,0.000,.,.,.,.,0,"1,822.808",460.235,.,.,"2,283.043",0.300,0.010,.,.,0.310,117,3,.,.,120,2.902,0.017,.,.,2.919,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,27.644,10.410,NM,0.000,38.054,"3,745",183,0,0,"3,928","1,825.710",460.252,0.000,0.000,"2,285.962"
2020,1,AZ,21538,"Mohave Electric Cooperative, I",Preliminary,AC,7.501,1.999,.,.,9.500,779,81,.,.,860,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,267.290,29.914,.,.,297.204,0.055,.,.,.,0.055,25,.,.,.,25,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,7.556,1.999,NM,0.000,9.555,804,81,0,0,885,267.290,29.914,0.000,0.000,297.204
2020,1,AZ,24211,Tucson Electric Power Co,Preliminary,AC,144.848,125.248,.,.,270.096,"24,915",818,.,.,"25,733",0.680,0.110,.,.,0.790,88,2,.,.,90,.,.,.,.,0.000,.,.,.,.,0,"10,235.824","6,012.071",.,.,"16,247.895",0.000,0.012,.,.,0.012,0,1,.,.,1,0.000,0.000,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,144.848,125.260,NM,0.000,270.108,"24,915",819,0,0,"25,734","10,235.824","6,012.071",0.000,0.000,"16,247.895"
2020,1,AZ,99999,Adjustment 2020,Preliminary,,-128.432,-45.890,.,.,-174.322,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.008,-0.032,.,.,-0.040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-128.440,-45.922,.,.,-174.361,.,.,.,.,.,.,.,.,.,.
2020,1,CA,4390,City of Corona - (CA),Preliminary,AC,0.052,0.337,.,.,0.389,7,1,.,.,8,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.052,0.337,NM,0.000,0.389,7,1,0,0,8,0.000,0.000,0.000,0.000,0.000
2020,1,CA,9216,Imperial Irrigation District,Preliminary,AC,31.116,49.044,.,.,80.160,"5,276",218,.,.,"5,494",.,.,.,.,0.000,.,.,.,.,0,1.175,0.162,.,.,1.337,424,43,.,.,467,.,.,.,.,0.000,0.002,.,.,.,0.002,1,.,.,.,1,.,.,.,.,0.000,.,2.130,.,.,2.130,.,5,.,.,5,.,.,.,.,0.000,32.293,51.336,NM,0.000,83.629,"5,701",266,0,0,"5,967",0.000,0.000,0.000,0.000,0.000
2020,1,CA,11208,Los Angeles Department of Water & Power,Preliminary,AC,233.149,106.917,.,.,340.066,"43,826","1,472",.,.,"45,298",6.745,0.435,.,.,7.180,870,5,.,.,875,.,.,.,.,0.000,.,.,.,.,0,"7,595.330",545.070,.,.,"8,140.400",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,233.149,106.917,NM,0.000,340.066,"43,826","1,472",0,0,"45,298","7,595.330",545.070,0.000,0.000,"8,140.400"
2020,1,CA,12745,Modesto Irrigation District,Preliminary,AC,32.359,9.876,8.116,0.000,50.351,"5,905",129,46,0,"6,080",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,32.359,9.876,8.116,0.000,50.351,"5,905",129,46,0,"6,080",0.000,0.000,0.000,0.000,0.000
